record_id,employee_id,employee_name,department,pay_period_start,pay_period_end,payment_date,gross_pay,overtime_hours,overtime_pay,benefits_premium,deductions,net_pay,eft_reference,bank_account,payment_status
14,E1186,Employee_186,Pension,07/02/2025,07/15/2025,07/17/2025,5495.8,2.24,221.52,120,1106.49,4269.31,EFT488162,XXXX003,Paid
15,E1136,Employee_136,IT,07/16/2025,07/29/2025,07/31/2025,3307.25,0.25,15.43,200,686.92,2420.33,EFT816751,XXXX001,Paid
16,E1087,Employee_87,HR,07/30/2025,08/12/2025,08/14/2025,2915.01,2.69,139.97,120,566.86,2228.15,EFT864544,XXXX002,Paid
17,E1194,Employee_194,Benefits,08/13/2025,08/26/2025,08/28/2025,4496.73,0.06,5.05,0,1020.62,3476.11,EFT771088,XXXX999,Paid
18,E1166,Employee_166,Customer Service,08/27/2025,09/09/2025,09/11/2025,3866.44,0.18,13.01,75,654.64,3136.8,EFT905635,XXXX001,Paid
19,E1016,Employee_16,Customer Service,09/10/2025,09/23/2025,09/25/2025,5108.37,0.75,70.84,50,936.21,4122.16,EFT430776,XXXX004,Paid
20,E1108,Employee_108,HR,09/24/2025,10/07/2025,10/09/2025,4819.01,0.1,9.02,0,1021.3,3797.71,EFT852787,XXXX003,Paid
21,E1255,Employee_255,Payroll Ops,10/08/2025,10/21/2025,10/23/2025,3789.94,0.3,21.2,200,840.28,2749.66,EFT774079,XXXX004,Paid
22,E1071,Employee_71,Pension,10/22/2025,11/04/2025,11/06/2025,4094.16,0.81,61.25,75,831.28,3187.88,EFT881177,XXXX999,Paid
23,E1299,Employee_299,Payroll Ops,11/05/2025,11/18/2025,11/20/2025,4621.4,1.51,127.24,200,926.37,3495.03,EFT711878,XXXX004,Paid
24,E1070,Employee_70,HR,11/19/2025,12/02/2025,12/04/2025,4218.3,1.18,91.31,75,834.78,3308.52,EFT617488,XXXX001,Paid
25,E1056,Employee_56,Pension,12/03/2025,12/16/2025,12/18/2025,3847.71,0.09,6.48,0,696.94,3150.77,EFT757924,XXXX002,Paid
26,E1216,Employee_216,HR,12/17/2025,12/30/2025,01/01/2026,4189.52,0.57,44.3,200,725.12,3264.4,EFT166613,XXXX004,Paid
27,E1239,Employee_239,HR,01/01/2025,01/14/2025,01/16/2025,5551.87,0.21,21.77,75,1213.74,4263.13,EFT363626,XXXX999,Paid
28,E1005,Employee_5,IT,01/15/2025,01/28/2025,01/30/2025,3852.57,1.7,119.01,50,861.75,2940.82,EFT855731,XXXX001,Paid
29,E1274,Employee_274,Customer Service,01/29/2025,02/11/2025,02/13/2025,5146.32,1.3,122.46,120,962.83,4063.49,EFT379786,XXXX003,Paid
30,E1222,Employee_222,Pension,02/12/2025,02/25/2025,02/27/2025,4640.87,1.72,144.99,50,729.27,3861.6,EFT575763,XXXX001,Paid
31,E1134,Employee_134,HR,02/26/2025,03/11/2025,03/13/2025,4874.41,0.25,22.74,75,934.97,3864.44,EFT898975,XXXX002,Paid
32,E1054,Employee_54,Customer Service,03/12/2025,03/25/2025,03/27/2025,4071.04,1.36,101.23,0,716.46,3354.58,EFT755674,XXXX003,Paid
33,E1259,Employee_259,HR,03/26/2025,04/08/2025,04/10/2025,4357.18,0.53,42.87,0,698.86,3658.32,EFT308573,XXXX002,Paid
34,E1082,Employee_82,HR,04/09/2025,04/22/2025,04/24/2025,3094.53,0.33,19.03,75,560.73,2458.8,EFT916449,XXXX999,Paid
35,E1165,Employee_165,Payroll Ops,04/23/2025,05/06/2025,05/08/2025,5937.38,0.36,39.81,0,1034.38,4903,EFT120422,XXXX001,Paid
36,E1157,Employee_157,Pension,05/07/2025,05/20/2025,05/22/2025,4375.91,0.23,18.79,50,963.91,3362,EFT160738,XXXX002,Paid
37,E1040,Employee_40,Finance,05/21/2025,06/03/2025,06/05/2025,3826.65,0.34,24.24,0,661.45,3165.2,EFT867460,XXXX004,Paid
38,E1272,Employee_272,Customer Service,06/04/2025,06/17/2025,06/19/2025,4134.3,0.13,10.05,120,803.31,3210.99,EFT231869,XXXX002,Paid
39,E1281,Employee_281,Pension,06/18/2025,07/01/2025,07/03/2025,6150.92,0.07,8.06,75,1070.18,5005.74,EFT377932,XXXX999,Paid
40,E1216,Employee_216,Pension,07/02/2025,07/15/2025,07/17/2025,5438,1.3,129.4,200,1131.96,4106.04,EFT665492,XXXX002,Paid
41,E1204,Employee_204,IT,07/16/2025,07/29/2025,07/31/2025,4735.26,0.08,7.09,0,780.49,3954.77,EFT781446,XXXX003,Paid
42,E1264,Employee_264,Payroll Ops,07/30/2025,08/12/2025,08/14/2025,6237.37,0.57,65.96,200,1455.44,4581.93,EFT226882,XXXX002,Paid
43,E1173,Employee_173,Finance,08/13/2025,08/26/2025,08/28/2025,3272.56,0.99,59.64,75,593.96,2603.6,EFT716886,XXXX999,Paid
44,E1112,Employee_112,Finance,08/27/2025,09/09/2025,09/11/2025,3591.31,0.08,5.38,0,785.65,2805.66,EFT174441,XXXX001,Paid
45,E1016,Employee_16,Customer Service,09/10/2025,09/23/2025,09/25/2025,4769.2,0.12,10.71,120,1063.63,3585.57,EFT446479,XXXX001,Paid
46,E1142,Employee_142,IT,09/24/2025,10/07/2025,10/09/2025,4069.61,0.19,14.45,50,712.87,3306.74,EFT608993,XXXX002,Paid
47,E1292,Employee_292,HR,10/08/2025,10/21/2025,10/23/2025,5202.11,0.65,62.64,120,904.97,4177.14,EFT595631,XXXX002,Paid
48,E1208,Employee_208,Pension,10/22/2025,11/04/2025,11/06/2025,5065.52,4.47,391.72,120,962.01,3983.51,EFT198907,XXXX001,Paid
49,E1181,Employee_181,Payroll Ops,11/05/2025,11/18/2025,11/20/2025,4087.58,0.26,19.83,75,905.46,3107.12,EFT531071,XXXX004,Paid
50,E1027,Employee_27,IT,11/19/2025,12/02/2025,12/04/2025,4511.43,1.82,148.87,0,934.47,3576.96,EFT785197,XXXX001,Paid
51,E1173,Employee_173,Customer Service,12/03/2025,12/16/2025,12/18/2025,4404.49,0.01,0.83,0,952.73,3451.76,EFT214576,XXXX002,Paid
52,E1274,Employee_274,Payroll Ops,12/17/2025,12/30/2025,01/01/2026,4962.66,0,0,50,985.39,3927.27,EFT246991,XXXX004,Paid
53,E1236,Employee_236,Pension,01/01/2025,01/14/2025,01/16/2025,4347.78,0.15,12.19,120,753.2,3474.58,EFT179046,XXXX004,Paid
54,E1281,Employee_281,Finance,01/15/2025,01/28/2025,01/30/2025,4210.19,0.31,24.33,120,781.28,3308.91,EFT153045,XXXX999,Paid
55,E1047,Employee_47,Customer Service,01/29/2025,02/11/2025,02/13/2025,5007.59,0.29,27.08,120,1000.49,3887.1,EFT989921,XXXX002,Paid
56,E1248,Employee_248,Payroll Ops,02/12/2025,02/25/2025,02/27/2025,5139.46,0.81,76.89,200,1005.8,3933.66,EFT324130,XXXX004,Paid
57,E1084,Employee_84,Payroll Ops,02/26/2025,03/11/2025,03/13/2025,4099.16,0.34,25.97,0,845.96,3253.2,EFT102260,XXXX004,Paid
58,E1232,Employee_232,Benefits,03/12/2025,03/25/2025,03/27/2025,5035.42,0.54,50.47,200,862.49,3972.93,EFT543555,XXXX999,Paid
59,E1249,Employee_249,Pension,03/26/2025,04/08/2025,04/10/2025,6852.64,1.17,147.1,0,1672.73,5179.91,EFT299122,XXXX003,Paid
60,E1029,Employee_29,HR,04/09/2025,04/22/2025,04/24/2025,4211.82,0.51,39.89,200,994.38,3017.44,EFT871476,XXXX999,Paid
61,E1160,Employee_160,Finance,04/23/2025,05/06/2025,05/08/2025,4806.03,0.68,60.51,120,1116.63,3569.4,EFT152578,XXXX999,Paid
62,E1271,Employee_271,Pension,05/07/2025,05/20/2025,05/22/2025,2463.05,0.28,12.86,200,414.31,1848.74,EFT159642,XXXX999,Paid
63,E1095,Employee_95,Finance,05/21/2025,06/03/2025,06/05/2025,4128.36,0.37,28.44,50,998.8,3079.56,EFT723939,XXXX001,Paid
64,E1120,Employee_120,Payroll Ops,06/04/2025,06/17/2025,06/19/2025,2672.61,0.95,46.77,50,555.37,2067.24,EFT225710,XXXX999,Paid
65,E1020,Employee_20,HR,06/18/2025,07/01/2025,07/03/2025,5256,1.08,104.32,0,843.13,4412.87,EFT185965,XXXX004,Paid
66,E1289,Employee_289,HR,07/02/2025,07/15/2025,07/17/2025,4325.04,0.99,78.82,200,762.84,3362.2,EFT431737,XXXX003,Paid
67,E1160,Employee_160,Pension,07/16/2025,07/29/2025,07/31/2025,2843.66,0.76,39.95,120,563.92,2159.74,EFT378517,XXXX004,Paid
68,E1153,Employee_153,Payroll Ops,07/30/2025,08/12/2025,08/14/2025,3779.84,0.56,39.28,200,633.75,2946.09,EFT431535,XXXX001,Paid
69,E1288,Employee_288,Finance,08/13/2025,08/26/2025,08/28/2025,4054.26,0.04,3.04,75,744.61,3234.65,EFT176819,XXXX999,Paid
70,E1135,Employee_135,Pension,08/27/2025,09/09/2025,09/11/2025,3607.06,0.38,25.52,50,694.27,2862.79,EFT465962,XXXX001,Paid
71,E1189,Employee_189,Benefits,09/10/2025,09/23/2025,09/25/2025,3127.48,0.13,7.6,200,729.72,2197.76,EFT265409,XXXX004,Paid
72,E1154,Employee_154,HR,09/24/2025,10/07/2025,10/09/2025,5437.7,1.58,156.46,0,811.91,4625.79,EFT946305,XXXX999,Paid
73,E1283,Employee_283,Benefits,10/08/2025,10/21/2025,10/23/2025,3783.05,0.11,7.79,0,878.83,2904.22,EFT795613,XXXX001,Paid
74,E1068,Employee_68,Benefits,10/22/2025,11/04/2025,11/06/2025,5204.34,0.25,24.28,120,1099.67,3984.67,EFT221035,XXXX001,Paid
75,E1079,Employee_79,Benefits,11/05/2025,11/18/2025,11/20/2025,6446.57,0.81,96.44,120,1036.81,5289.76,EFT395442,XXXX999,Paid
76,E1175,Employee_175,Pension,11/19/2025,12/02/2025,12/04/2025,6165.57,2.79,306.5,50,1068.08,5047.49,EFT820892,XXXX003,Paid
77,E1128,Employee_128,Customer Service,12/03/2025,12/16/2025,12/18/2025,3635.48,0.46,31.09,50,549.8,3035.68,EFT153266,XXXX001,Paid
78,E1141,Employee_141,Finance,12/17/2025,12/30/2025,01/01/2026,5212.13,2.63,244.94,0,1087.07,4125.06,EFT103717,XXXX003,Paid
79,E1134,Employee_134,Pension,01/01/2025,01/14/2025,01/16/2025,2810.26,0.08,4.21,0,606.16,2204.1,EFT877236,XXXX004,Paid
80,E1218,Employee_218,HR,01/15/2025,01/28/2025,01/30/2025,3910.15,0.26,18.97,200,870.81,2839.34,EFT110139,XXXX001,Paid
81,E1076,Employee_76,HR,01/29/2025,02/11/2025,02/13/2025,6160.35,0.44,50.41,120,1262.34,4778.01,EFT137778,XXXX003,Paid
82,E1075,Employee_75,Payroll Ops,02/12/2025,02/25/2025,02/27/2025,5142.68,0.14,13.46,0,944.74,4197.94,EFT233636,XXXX001,Paid
83,E1020,Employee_20,Benefits,02/26/2025,03/11/2025,03/13/2025,4859.97,0.34,30.79,200,916.82,3743.15,EFT320281,XXXX002,Paid
84,E1181,Employee_181,Customer Service,03/12/2025,03/25/2025,03/27/2025,4808.34,0.77,68.43,200,1131.27,3477.07,EFT687080,XXXX004,Failed
85,E1079,Employee_79,Pension,03/26/2025,04/08/2025,04/10/2025,4250.47,0.62,48.84,200,698.7,3351.77,EFT270395,XXXX002,Paid
86,E1012,Employee_12,Pension,04/09/2025,04/22/2025,04/24/2025,4885.83,0.06,5.49,50,744.99,4090.84,EFT872343,XXXX003,Paid
87,E1210,Employee_210,Customer Service,04/23/2025,05/06/2025,05/08/2025,4844.32,0.69,61.87,50,991.58,3802.74,EFT802448,XXXX002,Paid
88,E1055,Employee_55,Payroll Ops,05/07/2025,05/20/2025,05/22/2025,4322.39,0.11,8.9,200,882.37,3240.02,EFT140605,XXXX004,Paid
89,E1235,Employee_235,Benefits,05/21/2025,06/03/2025,06/05/2025,4261.48,2.6,198.09,50,693.49,3517.99,EFT420015,XXXX002,Paid
90,E1098,Employee_98,Payroll Ops,06/04/2025,06/17/2025,06/19/2025,4752.55,0.26,23.06,120,757.09,3875.46,EFT444207,XXXX003,Paid
91,E1142,Employee_142,Benefits,06/18/2025,07/01/2025,07/03/2025,3784.08,0.31,21.87,50,820.77,2913.31,EFT772642,XXXX999,Paid
92,E1274,Employee_274,Benefits,07/02/2025,07/15/2025,07/17/2025,4413.98,0.33,27.14,75,781.67,3557.31,EFT128941,XXXX001,Paid
93,E1133,Employee_133,Pension,07/16/2025,07/29/2025,07/31/2025,4588.28,0.79,66.97,200,695.91,3692.37,EFT708792,XXXX003,Paid
94,E1222,Employee_222,Benefits,07/30/2025,08/12/2025,08/14/2025,3605.21,0.43,28.83,200,637.32,2767.89,EFT863934,XXXX003,Paid
95,E1261,Employee_261,Finance,08/13/2025,08/26/2025,08/28/2025,4812.8,1.32,116.24,0,1048.11,3764.69,EFT503906,XXXX999,Paid
96,E1022,Employee_22,IT,08/27/2025,09/09/2025,09/11/2025,3568.22,0.11,7.34,0,810.6,2757.62,EFT557239,XXXX001,Paid
97,E1275,Employee_275,IT,09/10/2025,09/23/2025,09/25/2025,4829.64,1.56,137.25,0,1022.87,3806.77,EFT854377,XXXX002,Paid
98,E1035,Employee_35,IT,09/24/2025,10/07/2025,10/09/2025,4099.4,1.08,81.37,75,644.14,3380.26,EFT446239,XXXX999,Paid
99,E1063,Employee_63,IT,10/08/2025,10/21/2025,10/23/2025,4321.47,1.4,110.54,200,1008.74,3112.73,EFT414910,XXXX999,Paid
100,E1209,Employee_209,Benefits,10/22/2025,11/04/2025,11/06/2025,5074.68,0.39,36.84,120,1238.57,3716.11,EFT521947,XXXX003,Paid
101,E1098,Employee_98,Payroll Ops,11/05/2025,11/18/2025,11/20/2025,4010.08,2.51,180.24,120,794.09,3095.99,EFT797229,XXXX004,Paid
102,E1089,Employee_89,HR,11/19/2025,12/02/2025,12/04/2025,5161.9,0.8,76.28,200,809.48,4152.42,EFT696750,XXXX003,Paid
103,E1000,Employee_0,Benefits,12/03/2025,12/16/2025,12/18/2025,5229.75,0.19,18.56,200,1194.19,3835.56,EFT400850,XXXX002,Paid
104,E1296,Employee_296,HR,12/17/2025,12/30/2025,01/01/2026,6272.53,1.25,143.65,200,1489.89,4582.64,EFT786508,XXXX003,Paid
105,E1226,Employee_226,IT,01/01/2025,01/14/2025,01/16/2025,6135.22,2.77,302.92,0,1318.98,4816.24,EFT324082,XXXX999,Paid
106,E1086,Employee_86,IT,01/15/2025,01/28/2025,01/30/2025,4630.01,0.77,65.89,200,1067.31,3362.7,EFT188914,XXXX003,Paid
107,E1171,Employee_171,Finance,01/29/2025,02/11/2025,02/13/2025,2926.26,0.4,21.78,75,640.8,2210.46,EFT958179,XXXX002,Paid
108,E1115,Employee_115,Customer Service,02/12/2025,02/25/2025,02/27/2025,3859.92,0.07,5.06,200,668.14,2991.78,EFT308802,XXXX002,Paid
109,E1125,Employee_125,Payroll Ops,02/26/2025,03/11/2025,03/13/2025,5318.92,1.7,164.3,0,1261.46,4057.46,EFT740967,XXXX001,Paid
110,E1294,Employee_294,Pension,03/12/2025,03/25/2025,03/27/2025,4696.77,3.42,283.03,120,816.64,3760.13,EFT853240,XXXX004,Paid
111,E1124,Employee_124,Pension,03/26/2025,04/08/2025,04/10/2025,4081.39,0.38,28.87,75,708.67,3297.72,EFT787926,XXXX001,Paid
112,E1054,Employee_54,Customer Service,04/09/2025,04/22/2025,04/24/2025,5909.95,0.32,35.25,75,1030.24,4804.71,EFT545798,XXXX002,Paid
113,E1265,Employee_265,Payroll Ops,04/23/2025,05/06/2025,05/08/2025,5610.73,1.08,111.36,200,1277.39,4133.34,EFT152657,XXXX999,Paid
114,E1062,Employee_62,Payroll Ops,05/07/2025,05/20/2025,05/22/2025,2527.2,1.09,50.62,75,515.96,1936.24,EFT239816,XXXX004,Paid
115,E1286,Employee_286,HR,05/21/2025,06/03/2025,06/05/2025,4122.89,0.27,20.77,0,707.04,3415.85,EFT432711,XXXX004,Paid
116,E1258,Employee_258,Payroll Ops,06/04/2025,06/17/2025,06/19/2025,4787.34,2.64,225.8,120,1130.3,3537.04,EFT970914,XXXX999,Paid
117,E1081,Employee_81,IT,06/18/2025,07/01/2025,07/03/2025,2494.8,0.04,1.87,200,621.48,1673.32,EFT597732,XXXX004,Paid
118,E1126,Employee_126,Customer Service,07/02/2025,07/15/2025,07/17/2025,4744.51,0.06,5.33,75,1040.44,3629.07,EFT768636,XXXX003,Paid
119,E1266,Employee_266,Payroll Ops,07/16/2025,07/29/2025,07/31/2025,3861.42,4.38,293.05,75,856.82,2929.6,EFT757193,XXXX002,Paid
120,E1039,Employee_39,IT,07/30/2025,08/12/2025,08/14/2025,3332.1,0.04,2.5,120,818.65,2393.45,EFT399607,XXXX002,Paid
121,E1163,Employee_163,HR,08/13/2025,08/26/2025,08/28/2025,4077.92,0.09,6.87,200,723.58,3154.34,EFT184491,XXXX002,Paid
122,E1196,Employee_196,IT,08/27/2025,09/09/2025,09/11/2025,3671.12,0.17,11.66,50,691,2930.12,EFT260227,XXXX002,Paid
123,E1208,Employee_208,Benefits,09/10/2025,09/23/2025,09/25/2025,3542.53,0.36,23.75,120,874.84,2547.69,EFT668969,XXXX004,Paid
124,E1105,Employee_105,Customer Service,09/24/2025,10/07/2025,10/09/2025,3473.85,0.96,61.42,0,607.33,2866.52,EFT540552,XXXX004,Paid
125,E1299,Employee_299,IT,10/08/2025,10/21/2025,10/23/2025,5781.95,0.25,26.98,200,1387.48,4194.47,EFT120480,XXXX999,Paid
126,E1003,Employee_3,Benefits,10/22/2025,11/04/2025,11/06/2025,2930.58,1.38,73.92,50,547.52,2333.06,EFT413118,XXXX004,Paid
127,E1214,Employee_214,HR,11/05/2025,11/18/2025,11/20/2025,4908.68,0.07,6.43,50,1005.74,3852.94,EFT883826,XXXX999,Paid
128,E1112,Employee_112,Payroll Ops,11/19/2025,12/02/2025,12/04/2025,4347.35,0.14,11.38,0,987.56,3359.79,EFT330080,XXXX003,Paid
129,E1014,Employee_14,Payroll Ops,12/03/2025,12/16/2025,12/18/2025,4538.66,0.38,32.11,50,847.63,3641.03,EFT452457,XXXX004,Paid
130,E1239,Employee_239,Pension,12/17/2025,12/30/2025,01/01/2026,4407.45,2.8,219.85,75,866.45,3466,EFT752483,XXXX999,Paid
131,E1201,Employee_201,HR,01/01/2025,01/14/2025,01/16/2025,4447.1,0.61,50.29,200,1097.72,3149.38,EFT691807,XXXX001,Paid
132,E1219,Employee_219,Pension,01/15/2025,01/28/2025,01/30/2025,3809.93,0.65,45.87,200,837.93,2772,EFT584125,XXXX002,Paid
133,E1194,Employee_194,Benefits,01/29/2025,02/11/2025,02/13/2025,3635.08,0.22,14.93,0,589.78,3045.3,EFT321941,XXXX004,Paid
134,E1194,Employee_194,Benefits,02/12/2025,02/25/2025,02/27/2025,5670.38,2.46,250.01,200,925.38,4545,EFT888539,XXXX004,Paid
135,E1041,Employee_41,Payroll Ops,02/26/2025,03/11/2025,03/13/2025,4505.73,0.04,3.38,50,899.64,3556.09,EFT120324,XXXX999,Paid
136,E1179,Employee_179,Pension,03/12/2025,03/25/2025,03/27/2025,4690.26,0.52,45.29,75,938.36,3676.9,EFT781725,XXXX001,Paid
137,E1020,Employee_20,Customer Service,03/26/2025,04/08/2025,04/10/2025,4406.85,0.66,53.87,75,828.58,3503.27,EFT132537,XXXX002,Paid
138,E1010,Employee_10,HR,04/09/2025,04/22/2025,04/24/2025,5249.71,0.12,11.79,200,1110.6,3939.11,EFT259784,XXXX002,Paid
139,E1058,Employee_58,HR,04/23/2025,05/06/2025,05/08/2025,3339.07,0.12,7.5,120,826.38,2392.69,EFT328552,XXXX004,Paid
140,E1188,Employee_188,Pension,05/07/2025,05/20/2025,05/22/2025,4885.2,0.75,67.75,50,911.58,3923.62,EFT735324,XXXX999,Failed
141,E1058,Employee_58,Customer Service,05/21/2025,06/03/2025,06/05/2025,5029.32,0.34,31.86,0,1141.25,3888.07,EFT959099,XXXX002,Failed
142,E1055,Employee_55,HR,06/04/2025,06/17/2025,06/19/2025,4107.2,0.4,30.57,50,963.05,3094.15,EFT126925,XXXX003,Paid
143,E1192,Employee_192,Payroll Ops,06/18/2025,07/01/2025,07/03/2025,4205.59,0.24,18.84,200,1038.33,2967.26,EFT849747,XXXX002,Paid
144,E1124,Employee_124,Finance,07/02/2025,07/15/2025,07/17/2025,4966.54,0.54,49.78,200,840.34,3926.2,EFT831059,XXXX003,Paid
145,E1061,Employee_61,Customer Service,07/16/2025,07/29/2025,07/31/2025,2592.42,0.62,29.79,75,419.97,2097.45,EFT693423,XXXX001,Paid
146,E1219,Employee_219,IT,07/30/2025,08/12/2025,08/14/2025,5100.37,0.82,77.23,120,927.1,4053.27,EFT488571,XXXX001,Paid
147,E1174,Employee_174,Finance,08/13/2025,08/26/2025,08/28/2025,4211.96,0.88,68.37,50,870.96,3291,EFT990844,XXXX004,Paid
148,E1054,Employee_54,Payroll Ops,08/27/2025,09/09/2025,09/11/2025,5078.6,0.2,18.97,200,844.42,4034.18,EFT479781,XXXX004,Paid
149,E1222,Employee_222,Pension,09/10/2025,09/23/2025,09/25/2025,3470.6,0.07,4.55,0,705.14,2765.46,EFT869440,XXXX999,Failed
150,E1138,Employee_138,HR,09/24/2025,10/07/2025,10/09/2025,3721.14,0.35,24.26,50,602.13,3069.01,EFT947458,XXXX999,Paid
151,E1238,Employee_238,Payroll Ops,10/08/2025,10/21/2025,10/23/2025,3108.02,0.08,4.66,0,678.95,2429.07,EFT965845,XXXX999,Paid
152,E1125,Employee_125,Customer Service,10/22/2025,11/04/2025,11/06/2025,3189.44,0.57,33.73,75,763.96,2350.48,EFT190872,XXXX003,Paid
153,E1124,Employee_124,Customer Service,11/05/2025,11/18/2025,11/20/2025,4199.58,1.31,100.68,0,859.65,3339.93,EFT587282,XXXX999,Paid
154,E1194,Employee_194,Benefits,11/19/2025,12/02/2025,12/04/2025,4258.45,3.43,257.32,50,904.24,3304.21,EFT130094,XXXX004,Paid
155,E1093,Employee_93,Payroll Ops,12/03/2025,12/16/2025,12/18/2025,5808.1,0.05,5.44,75,1016.88,4716.22,EFT322423,XXXX003,Paid
156,E1174,Employee_174,Benefits,12/17/2025,12/30/2025,01/01/2026,4510.24,1,83.01,75,899.66,3535.58,EFT725113,XXXX003,Paid
157,E1264,Employee_264,Pension,01/01/2025,01/14/2025,01/16/2025,4131.59,0.61,46.72,0,913.95,3217.64,EFT189771,XXXX002,Paid
158,E1250,Employee_250,HR,01/15/2025,01/28/2025,01/30/2025,3350.03,0.16,10.02,0,781.8,2568.23,EFT894993,XXXX002,Paid
159,E1251,Employee_251,Payroll Ops,01/29/2025,02/11/2025,02/13/2025,4284.54,0.21,16.8,200,893.49,3191.05,EFT931450,XXXX001,Paid
160,E1113,Employee_113,Payroll Ops,02/12/2025,02/25/2025,02/27/2025,3470.72,0.91,58.23,75,733.28,2662.44,EFT825391,XXXX002,Paid
161,E1297,Employee_297,Benefits,02/26/2025,03/11/2025,03/13/2025,6646.72,1.07,130.73,0,1345.2,5301.52,EFT596249,XXXX999,Paid
162,E1217,Employee_217,IT,03/12/2025,03/25/2025,03/27/2025,3664.3,0.38,25.92,200,677.86,2786.44,EFT677124,XXXX003,Paid
163,E1232,Employee_232,Benefits,03/26/2025,04/08/2025,04/10/2025,5066.59,0.35,33.03,200,921.32,3945.27,EFT421517,XXXX003,Paid
164,E1098,Employee_98,Benefits,04/09/2025,04/22/2025,04/24/2025,6159.28,2.17,240.81,200,948.01,5011.27,EFT225362,XXXX999,Paid
165,E1094,Employee_94,Pension,04/23/2025,05/06/2025,05/08/2025,3797.64,0.14,9.94,75,601.44,3121.2,EFT326895,XXXX004,Paid
166,E1268,Employee_268,HR,05/07/2025,05/20/2025,05/22/2025,3725.93,1.31,89.32,0,574.67,3151.26,EFT396745,XXXX001,Paid
167,E1151,Employee_151,Pension,05/21/2025,06/03/2025,06/05/2025,2065.47,3.23,117.95,50,404.3,1611.17,EFT478411,XXXX002,Paid
168,E1273,Employee_273,Pension,06/04/2025,06/17/2025,06/19/2025,4995.88,1.99,179.7,0,958.78,4037.1,EFT387636,XXXX001,Failed
169,E1283,Employee_283,Benefits,06/18/2025,07/01/2025,07/03/2025,5027.71,1.01,93.44,75,1022.19,3930.52,EFT831295,XXXX002,Paid
170,E1251,Employee_251,Finance,07/02/2025,07/15/2025,07/17/2025,4733.04,0.26,22.96,120,803.11,3809.93,EFT112861,XXXX999,Paid
171,E1245,Employee_245,Payroll Ops,07/16/2025,07/29/2025,07/31/2025,4830.26,0.6,53.74,0,1008.14,3822.12,EFT457256,XXXX002,Failed
172,E1129,Employee_129,Customer Service,07/30/2025,08/12/2025,08/14/2025,3484.24,0.27,17.55,200,695.45,2588.79,EFT600935,XXXX001,Paid
173,E1205,Employee_205,Payroll Ops,08/13/2025,08/26/2025,08/28/2025,4076.12,0.72,54.29,50,785.97,3240.15,EFT177680,XXXX999,Paid
174,E1027,Employee_27,Pension,08/27/2025,09/09/2025,09/11/2025,4684.7,0.64,55.55,50,1152.64,3482.06,EFT256445,XXXX999,Paid
175,E1043,Employee_43,Pension,09/10/2025,09/23/2025,09/25/2025,5128.64,0.24,22.98,200,767.23,4161.41,EFT224205,XXXX999,Paid
176,E1115,Employee_115,Customer Service,09/24/2025,10/07/2025,10/09/2025,3687.7,0.1,6.9,75,680.53,2932.17,EFT647957,XXXX004,Paid
177,E1226,Employee_226,Benefits,10/08/2025,10/21/2025,10/23/2025,4365.82,0.16,13.06,75,1056.18,3234.64,EFT717113,XXXX004,Paid
